StudentID,Age,Gender,Role,BenefitStatus,UsageFrequency,PerceivedImpact,DataProtectionConcerns,BiasConcerns,TrainingNeeds,AutomationEfficiency
41,16,Male,Developer,Benefited,Moderate,Moderate,Low,Low,Low,Low
42,15,Male,Developer,Not Benefited,Low,High,Moderate,Low,Moderate,High
43,19,Other,Researcher,Not Benefited,High,High,High,High,Moderate,Low
44,16,Other,Researcher,Benefited,High,Low,Moderate,Moderate,High,Moderate
45,18,Other,Researcher,Benefited,Moderate,Moderate,Low,High,Low,High
46,14,Female,Student,Not Benefited,Moderate,Low,Moderate,Low,Low,Moderate
47,16,Male,Student,Not Benefited,High,Moderate,Low,Low,High,High
48,13,Other,Student,Not Benefited,Low,Moderate,Moderate,Low,High,High
49,15,Male,Developer,Not Benefited,Moderate,Moderate,High,Low,High,Low
50,17,Female,Researcher,Not Benefited,Moderate,Moderate,Moderate,Low,High,Low
51,14,Female,Developer,Benefited,Moderate,Moderate,Moderate,Low,Low,Moderate
52,19,Other,Student,Not Benefited,High,High,Low,Low,Low,Low
53,13,Female,Researcher,Benefited,Low,Low,Low,Moderate,Moderate,Low
54,21,Male,Developer,Benefited,Moderate,High,Low,High,Moderate,High
55,16,Other,Researcher,Benefited,Moderate,Moderate,Moderate,Low,High,Low
56,20,Male,Developer,Not Benefited,High,Low,High,Moderate,High,High
57,18,Male,Researcher,Benefited,High,Moderate,Low,Moderate,High,High
58,22,Female,Student,Benefited,High,Low,Low,High,Moderate,High
59,18,Female,Student,Not Benefited,Low,High,Moderate,Low,Moderate,Moderate
60,17,Female,Researcher,Benefited,Moderate,Low,Low,High,Moderate,Moderate
61,17,Female,Developer,Benefited,Moderate,Low,High,Low,Moderate,Moderate
62,19,Female,Student,Not Benefited,Moderate,Low,High,Moderate,Moderate,High
63,17,Other,Student,Benefited,Low,Low,Low,Moderate,Moderate,Moderate
64,19,Male,Student,Benefited,High,Low,Low,Moderate,Moderate,Moderate
65,18,Male,Researcher,Benefited,High,Moderate,Moderate,Moderate,High,Low
66,21,Male,Researcher,Not Benefited,High,Low,High,High,High,Moderate
67,20,Male,Developer,Not Benefited,High,Low,High,Low,High,Moderate
68,17,Female,Developer,Not Benefited,High,High,Low,Low,High,High
69,18,Male,Developer,Benefited,Moderate,Low,Moderate,High,Moderate,High
70,17,Other,Researcher,Benefited,High,High,High,Low,Low,High
71,19,Other,Researcher,Not Benefited,High,Moderate,High,Moderate,Moderate,High
72,18,Male,Developer,Benefited,Moderate,Low,Moderate,Low,Low,High
73,16,Male,Developer,Benefited,Moderate,High,Moderate,Moderate,High,High
74,20,Other,Researcher,Not Benefited,High,High,High,High,Moderate,Moderate
75,18,Other,Developer,Not Benefited,Moderate,Moderate,High,Low,High,High
76,18,Female,Student,Benefited,Low,Low,Moderate,High,Moderate,High
77,19,Other,Researcher,Benefited,High,Low,High,Low,High,Low
78,17,Female,Developer,Benefited,Moderate,High,Low,Moderate,Low,Moderate
79,16,Female,Researcher,Not Benefited,Low,Low,Low,High,Low,Moderate
80,13,Female,Student,Not Benefited,Low,High,Moderate,Low,Low,Moderate
81,18,Female,Researcher,Not Benefited,High,Low,Moderate,Moderate,Moderate,High
82,15,Female,Researcher,Not Benefited,Low,High,Moderate,High,Low,High
83,13,Male,Researcher,Benefited,Low,Low,Low,High,Moderate,High
84,15,Other,Researcher,Not Benefited,Low,Moderate,High,Low,Low,Low
85,20,Female,Student,Not Benefited,High,Low,Low,Low,Low,High
86,19,Other,Researcher,Not Benefited,Moderate,Low,High,Low,Moderate,Low
87,20,Other,Researcher,Not Benefited,High,Moderate,Low,Moderate,Moderate,Moderate
88,19,Female,Developer,Not Benefited,High,Low,High,Low,Low,High
89,15,Male,Researcher,Benefited,Low,Moderate,Low,High,Moderate,Low
90,18,Female,Developer,Benefited,High,Low,Moderate,High,Low,Low
91,19,Male,Student,Not Benefited,High,High,Low,Low,Moderate,High
92,14,Other,Student,Benefited,Low,High,High,Low,High,Moderate
93,17,Male,Student,Not Benefited,Moderate,Low,Low,High,High,Moderate
